Barcode,Name,Price
835229000100,Absolut 200ml,$8.99 
090446000542,Sport Red S,$6.29 
021296620024,Paul Masson Peach 750ml,$10.99 
088004027902,Barton Naturals 1.75L,$10.99 
077079000712,✨Cheesy Jalapeño Curls - 2.75oz   ,$2.39 
856724006039,✨Casamigos Añejo Tequila - 50ml      ,$7.99 
018200250101,Michelob Ultra 25oz,$3.59 
082000005490,Buchanans 12 Year ,$3.99 
084380360916,Pennsylvania Dutch Egg nog 1.75,$21.99 
083300048729,Amarula 750ml,$24.99 
085000004159,E&J Brandy VS 1.75L,$23.99 
7702055001126,Blanco Del Valle 750ml,$18.99 
071610302792,✨Backwoods Russian Cream Cigars - 5 Pack ,$5.99 
080480025205,Bacardi Gold Gls 1.75,$26.99 
021296006309,Paul Masson VSOP 750ml,$14.99 
085000022313,New Amsterdam Pineapple 750ml,$14.99 
811538010245,1800 Repo 1L,$44.99 
085676101176,Skol 1.75L,$11.99 
080432401255,Seagram Gin 1L,$17.99 
083089000147,Jagermeister Cold Brew 50ml,$2.29 
721059701013,✨Espolòn Reposado Tequila - 1.0L,$39.99 
811538010825,Jose Cuervo Silver 1L,$29.99 
811538010870, ✨Jose Cuervo Silver Tequila - 375ml        ,$12.99 
018200008337,Bud Light 12oz 6pk Btls,$9.99 
087236001681,✨Rémy Martin VSOP Cognac - 50ml           ,$6.99 
018200530470,Bud Light 12pk Can,$16.99 
861518002654,Gloria Strawberry Margarita 1.75 Ltr ,$16.99 
082000750420,Crown Royal Black 375ml,$19.99 
721059000604,Wray&Nephew White 1L,$34.99 
835229000308,Absolut 750ml,$24.99 
617768141373,Svedka Strawberry Lemonade 375ml,$7.39 
080432113257,Seagrams Pineapple Twisted Gin 100 ml ,$2.29 
096749200313,Burnetts 1.75L,$14.99 
096749908554,Lunazul Repo 1.75L,$41.99 
811538010375,1800 Coconut 750ml,$30.99 
649188900476,Grand Marnier 750ml,$38.99 
021296620079,Paul Masson Redberry 750ml,$10.99 
611269546019,Red Bull 16oz,$5.99 
08237107,Ciroc Pineapple 50 ml ,$4.99 
080244008130,Rain Vdk 750ml,$14.99 
085246139431,Makers Mark 750ml,$34.99 
085000021644,New Amsterdam Peach 1L,$17.99 
721733000951,Patron Repo 375ml,$26.99 
7702055001690,✨Aguardiente Blanco - 750ml    ,$18.99 
082184000342,Jack Honey 375ml,$13.99 
080480984281,Bacardi Lime 50ml,$2.29 
083664874071,Milagro Reposado 375ml ,$18.99 
080686835059,Hornitos Repo 1.75L,$51.99 
018200059902,Michelob Ultra 12pk Btls,$19.99 
03178534,Garcia & Vega 7882,$2.99 
01660530,Roses Grenadine 12oz,$4.99 
649188900377,Grand Marnier 200ml,$12.99 
,Incense Short ,$1.49 
08860139,✨Gordon's London Dry Gin - 1L            ,$17.99 
086024007997,✨Margaritaville Gold Tequila - 50ml    ,$2.29 
083820234800,Guinness Extra Stout 22oz,$3.59 
082184000632,Jack Daniels Honey 100 ml,$3.99 
087236992057,St Remy VSOP 1.75L,$32.99 
085676101763,Skol 750ml,$6.99 
02895321,Marlboro Black 100 L,$9.99 
854856006682,✨Polar Bear Vodka - 375ml    ,$5.99 
087236001186,Remy Martin VSOP 1L,$69.99 
085676564032,Calypso Coconut 750ml,$6.99 
811538019569,Proper 12 750ml,$33.99 
080686835011,✨Hornitos Reposado Tequila - 1L,$37.99 
736040012856,Hpnotiq 375ml,$15.99 
744607111317,Herradura Silver 750ml,$46.99 
08860032,Gordons Gin 1.75ml,$26.99 
080480025304,Bacardi Gold 1L,$20.99 
4820000943505,Odessa VSOP 750 ml ,$11.99 
021136180619,Topo Chico 16.9FL,$2.99 
684746800416,✨Clubtails Long Island RTD - 12oz    ,$2.39 
086072132115,Montebello Long Island Iced Tea 1.75L,$20.99 
